"gene_name","ens_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"A930016O22Rik","ENSMUSG00000040705",34.0641698665066,2.03380182637545,0.343425453132936,1.64574623949624e-10,1.13735166540598e-09
"Taf15","ENSMUSG00000020680",3746.7721460562,-0.63634793773702,0.101672314660528,1.68274165648836e-10,1.16260929929926e-09
"Mkrn2os","ENSMUSG00000068011",1090.87828187424,-0.787208959809214,0.127496449063374,1.71553883109218e-10,1.18495369633763e-09
"Stat6","ENSMUSG00000002147",4175.02974562865,-0.626907273901803,0.100187475580973,1.74746654975241e-10,1.20668582195214e-09
"Arhgap18","ENSMUSG00000039031",785.925538958452,1.05464729625312,0.175207386790434,1.76091761548583e-10,1.21565102051522e-09
"Kif3b","ENSMUSG00000027475",4349.39660387569,-0.365400509052068,0.0576040116587748,1.76499377077175e-10,1.21814119640481e-09
"Rilpl2","ENSMUSG00000029401",889.396442579104,0.685116308947009,0.110048828656468,1.78225090537543e-10,1.22972471475838e-09
"Rap1gds1","ENSMUSG00000028149",3356.54404109918,-0.647037713772925,0.103635269907378,1.79715015040927e-10,1.23967560574446e-09
"Zfp445","ENSMUSG00000047036",3839.13909597524,0.760123465242775,0.122945116063079,1.80004955441178e-10,1.24134591018663e-09
"Ttyh1","ENSMUSG00000030428",4129.13171834004,1.32284923813152,0.222540036420891,1.80555425679262e-10,1.24481151056972e-09
"Slc39a5","ENSMUSG00000039878",31.863193232219,2.35058957345677,0.402541622365624,1.81816862685529e-10,1.25317562123298e-09
"6430562O15Rik","ENSMUSG00000097828",76.9689409819032,1.48817929483101,0.250646937681767,1.8199843250753e-10,1.25409426655693e-09
"1700001G17Rik","ENSMUSG00000103746",21.8938916664753,2.80544007998677,0.488308422167925,1.83335696194803e-10,1.26297383710219e-09
"Th","ENSMUSG00000000214",1355.64272086624,1.75565845507452,0.295838136177941,1.83699023861638e-10,1.26514116910915e-09
"Entpd3","ENSMUSG00000041608",25426.367247462,-1.34739375568998,0.226883736058598,1.84552896338032e-10,1.27068485439953e-09
"Glipr2","ENSMUSG00000028480",2068.2838071405,-1.4695165977451,0.247627771493059,1.85252470339927e-10,1.27516350575093e-09
"Gm14097","ENSMUSG00000084839",336.034212349728,1.27514321193506,0.214484330618327,1.86026586612119e-10,1.28015275063682e-09
"Cryzl2","ENSMUSG00000033488",1098.53469660565,0.64248833431575,0.102960966745042,1.8613139023549e-10,1.28053465849163e-09
"Ube2r2","ENSMUSG00000036241",7996.58656034279,-0.459941489335909,0.0728891093678307,1.86953063142329e-10,1.28584692872601e-09
"Pigt","ENSMUSG00000017721",4828.09410965167,0.5303878982826,0.0843766387760311,1.88011948783201e-10,1.29278748261808e-09
"Atp5c1","ENSMUSG00000025781",10114.7047786753,-0.616858441835134,0.0987023815223131,1.89027697913433e-10,1.29942783020375e-09
"Armc9","ENSMUSG00000062590",1053.59161588806,0.490866898374345,0.0779315950939849,1.89152402791779e-10,1.29994100367962e-09
"Rpl35","ENSMUSG00000062997",13219.7440333664,-0.632198832798489,0.101279745079788,1.89612510676967e-10,1.30275833724643e-09
"Fam221b","ENSMUSG00000043633",40.9645548678852,1.82682283465664,0.308471352720957,1.925570326986e-10,1.3226391685309e-09
"Pabpc4","ENSMUSG00000011257",8815.80893979561,-0.924178658495257,0.152162367842289,1.92747489931761e-10,1.32359731914801e-09
"Sh3bp5l","ENSMUSG00000013646",1257.64684368446,0.579472854020721,0.0925344221110628,1.9357643406716e-10,1.32882836720689e-09
"Mark1","ENSMUSG00000026620",1683.10498610014,0.467481004043718,0.0741743749806047,1.93611587598124e-10,1.32882836720689e-09
"Slu7","ENSMUSG00000020409",4531.53955233192,-0.642949479613544,0.103152833039829,1.94530426612747e-10,1.33478195761153e-09
"Ddx1","ENSMUSG00000037149",8974.66527548239,-0.554249406489952,0.0883979751687724,1.96672536823144e-10,1.3491237331838e-09
"Fam49a","ENSMUSG00000020589",364.537444818484,-1.12882111154827,0.189030345198079,1.9684497227683e-10,1.34995003300807e-09
"Gm44850","ENSMUSG00000108604",102.84000244431,3.17890784617984,0.560165795577417,1.99404300327779e-10,1.36714072962322e-09
"Sars","ENSMUSG00000068739",19503.4481143214,-0.978356488442425,0.162067072744392,2.00420562976277e-10,1.37374569571309e-09
"Fgl2","ENSMUSG00000039899",5961.10140020743,-0.75323041986716,0.122126660316654,2.02975625174528e-10,1.3908918103978e-09
